tile,id
S2A_MSIL1C_20170613T101031_N0205_R022_T33UUP_20170613T101608.SAFE,f602623e-fd82-5a53-ba09-b05ce085e40c
S2A_MSIL1C_20170613T101031_N0205_R022_T34VER_20170613T101025.SAFE,225addc0-3e9f-5415-a5cf-9c1de6ba935a
S2A_MSIL1C_20170617T113321_N0205_R080_T29UPU_20170617T113319.SAFE,69c42c34-643f-5020-a833-a0653408798b
S2A_MSIL1C_20170701T093031_N0205_R136_T35VPK_20170701T093032.SAFE,3c11fdf4-4f22-5670-bf8a-b4f74825c5dd
S2A_MSIL1C_20170704T112111_N0205_R037_T29SND_20170704T112431.SAFE,292fe5b1-6cfa-59c0-a659-fc475666190e
S2A_MSIL1C_20170717T113321_N0205_R080_T29UPA_20170717T113326.SAFE,e4e44785-e34c-5b9a-9e4c-f38a9486f705
S2A_MSIL1C_20170717T113321_N0205_R080_T29UPV_20170717T113326.SAFE,35d9dc3d-2e15-5d39-ae89-f92e6c3e40f2
S2A_MSIL1C_20170720T100031_N0205_R122_T34UDG_20170720T100027.SAFE,b1989784-0637-58b6-a0cc-4d39714cd3d9
S2A_MSIL1C_20170803T094031_N0205_R036_T34TCR_20170803T094046.SAFE,4ae96f45-7287-5a85-9b36-7eda68c4a462
S2A_MSIL1C_20170813T112121_N0205_R037_T29SNC_20170813T112433.SAFE,6b88e382-fc59-54af-b81b-c0b960a68244
S2A_MSIL1C_20170816T095031_N0205_R079_T34UEG_20170816T095031.SAFE,bd2c7cd0-a1a2-565c-a848-15165f2a7ee0
S2A_MSIL1C_20170818T103021_N0205_R108_T32TMT_20170818T103421.SAFE,128cafbd-c58e-504d-922b-f8182befbab4
S2A_MSIL1C_20170827T092031_N0205_R093_T34TFQ_20170827T092029.SAFE,09344b90-0fb8-5684-b8c7-020bf389c81e
S2A_MSIL1C_20170905T095031_N0205_R079_T35VNL_20170905T095028.SAFE,be126df2-2e9a-5e32-ab84-de18aa0017e0
S2A_MSIL1C_20170905T095031_N0205_R079_T35WPN_20170905T095028.SAFE,3318f389-cfd3-5162-9028-8cf0dc79faab
S2A_MSIL1C_20171002T094031_N0205_R036_T34TCR_20171002T094705.SAFE,a37f5a98-a244-5cbc-bf85-d8db54363e4e
S2A_MSIL1C_20171002T094031_N0205_R036_T34TCS_20171002T094705.SAFE,88e8efd6-c584-56c9-b67c-2ec19678d80d
S2A_MSIL1C_20171002T112111_N0205_R037_T29SNB_20171002T113001.SAFE,3c02b080-4a79-565d-bb3e-44537c1b5e29
S2A_MSIL1C_20171002T112111_N0205_R037_T29SNC_20171002T113001.SAFE,48429697-7a39-5a89-bf77-6f569eb853c7
S2A_MSIL1C_20171015T095031_N0205_R079_T33UXP_20171015T095357.SAFE,bb10ffa4-b84a-501f-9932-a39d4811c43a
S2A_MSIL1C_20171101T094131_N0206_R036_T35VNJ_20171101T114654.SAFE,5f680c98-a4a9-588f-963f-d30f8d2138b1
S2A_MSIL1C_20171101T094131_N0206_R036_T35VNK_20171101T114654.SAFE,4754499f-f990-556c-954e-713d49128c34
S2A_MSIL1C_20171104T095201_N0206_R079_T33TXN_20171104T115711.SAFE,c07fc9d1-cb2b-5cf8-b2f1-09b80df3ca8d
S2A_MSIL1C_20171121T112351_N0206_R037_T29SND_20171121T133430.SAFE,4a5a90ae-7420-53ce-83f4-631e069a7114
S2A_MSIL1C_20171201T112431_N0206_R037_T29SNB_20171201T114409.SAFE,c0a3ece6-46d9-569e-b6c9-12c918492f98
S2A_MSIL1C_20171208T093351_N0206_R136_T34TEN_20171208T113607.SAFE,4b38e568-1955-563f-8ddc-a720e5e0fa02
S2A_MSIL1C_20171210T101411_N0206_R022_T33UWP_20171210T122032.SAFE,5ef45b9f-9ec8-5b1c-98b8-ec6f1144a8bd
S2A_MSIL1C_20171221T112501_N0206_R037_T29SND_20171221T114356.SAFE,995111b4-bc4d-5394-92ad-d5537f19892e
S2A_MSIL1C_20180205T100211_N0206_R122_T35VLJ_20180205T134941.SAFE,e3d208c7-a872-542c-8309-726ea076b7da
S2A_MSIL1C_20180219T094031_N0206_R036_T35WPP_20180219T114031.SAFE,0d13a1e6-63be-5ac7-9dce-750cc9e6000a
S2A_MSIL1C_20180225T114351_N0206_R123_T29UPU_20180225T170025.SAFE,36b219e2-6c55-5525-bd17-f930ffb01215
S2A_MSIL1C_20180228T101021_N0206_R022_T34WFS_20180228T154713.SAFE,5136e707-b03c-50c8-b143-76c993de917a
S2A_MSIL1C_20180318T093031_N0206_R136_T35UMB_20180318T113722.SAFE,9f02e35f-aaab-5f56-bbb9-e3ba71d78bac
S2A_MSIL1C_20180413T095031_N0206_R079_T34UEG_20180413T102702.SAFE,3863254b-7bf4-56cf-99e9-0426688932f9
S2A_MSIL1C_20180413T095031_N0206_R079_T35VLG_20180413T102702.SAFE,e6dfc39a-a992-5b29-8fe3-2df616f80f43
S2A_MSIL1C_20180419T101031_N0206_R022_T34VDN_20180419T103211.SAFE,d4f0a83e-1bce-56b0-b84e-a7b840b455bb
S2A_MSIL1C_20180430T094031_N0206_R036_T34TCR_20180430T132616.SAFE,1d06d339-c0c1-5bca-9e42-2edffbde3b0e
S2A_MSIL1C_20180506T100031_N0206_R122_T33UWP_20180506T105839.SAFE,3b0f8bfd-ed67-545c-9436-6b2290bceef1
S2A_MSIL1C_20180507T093041_N0206_R136_T35UMA_20180507T114155.SAFE,9897b523-6ed7-5c9c-b368-e94476bf9d2e
S2A_MSIL1C_20180508T104031_N0206_R008_T31UGR_20180508T175127.SAFE,b48e9001-97bf-58fd-aee4-d687724beb92
S2A_MSIL1C_20180508T104031_N0206_R008_T31UGS_20180508T175127.SAFE,0654708d-a990-54ce-a41a-a38bfefc427f
S2A_MSIL1C_20180509T101031_N0206_R022_T34VDR_20180509T135043.SAFE,a51fe98b-8629-5c42-b116-7c3c00b8f56e
S2A_MSIL1C_20180510T094031_N0206_R036_T35VLC_20180510T114819.SAFE,93731910-3af6-5866-b7c6-3c7075a9173e
S2A_MSIL1C_20180510T094031_N0206_R036_T35WPN_20180510T114116.SAFE,35e6c785-6913-507b-a742-3ff12d6af957
S2A_MSIL1C_20180510T094031_N0206_R036_T35WPP_20180510T114116.SAFE,73f7ce26-a336-52bd-9223-61eeee00561b
S2A_MSIL1C_20180526T100031_N0206_R122_T34WFU_20180526T133837.SAFE,b26d38a6-8a48-590b-9a23-2630a661210f
S2A_MSIL1C_20180527T093041_N0206_R136_T35VPK_20180527T112458.SAFE,75f1e43a-b16e-5e7c-945f-073687224fa6
S2A_MSIL1C_20180527T093041_N0206_R136_T36VVR_20180527T112458.SAFE,88280392-a3c0-59d3-ad2b-c0ec871251fb
S2A_MSIL1C_20180529T115401_N0206_R023_T29UNB_20180529T121715.SAFE,afc79f3f-cb84-5a1c-b927-0d0317ebdaef
S2B_MSIL1C_20170709T094029_N0205_R036_T35VNL_20170709T094031.SAFE,bdb3c766-50d1-52ec-a820-7a14bb0c55af
S2B_MSIL1C_20170716T093039_N0205_R136_T36VVR_20170716T093034.SAFE,33e4bbd5-b176-56fc-9330-5763d374345f
S2B_MSIL1C_20170718T115359_N0205_R023_T29UPB_20170718T115400.SAFE,d60ee11e-b5c8-5741-a007-c403b4402c11
S2B_MSIL1C_20170719T094029_N0205_R036_T34TCS_20170719T094031.SAFE,c01a7e68-db24-53e9-85b0-a18a48abfc56
S2B_MSIL1C_20170725T100029_N0205_R122_T35WPR_20170725T100026.SAFE,4042dafd-0c7c-5414-a2c6-9a2e4f46180b
S2B_MSIL1C_20170801T095029_N0205_R079_T33TXN_20170801T095712.SAFE,af1bb3bb-7d35-5242-94b5-b86a44df3c8d
S2B_MSIL1C_20170802T092029_N0205_R093_T34TFN_20170802T092027.SAFE,cc818b16-3ca8-5047-9a49-b9666aa82d62
S2B_MSIL1C_20170808T094029_N0205_R036_T35ULA_20170808T094029.SAFE,b4ac3975-116a-5d58-b252-b195eeb662ae
S2B_MSIL1C_20170812T092029_N0205_R093_T35VPH_20170812T092026.SAFE,03cf509c-4ac1-5f56-99b6-afc801f58653
S2B_MSIL1C_20170814T100029_N0205_R122_T34VDM_20170814T100234.SAFE,4d584e79-9220-5b7a-9631-3e823376a793
S2B_MSIL1C_20170817T101019_N0205_R022_T34WFS_20170817T101021.SAFE,64b4d2f9-d167-5d3f-bfe2-02b9aac6b866
S2B_MSIL1C_20170818T112109_N0205_R037_T29SNB_20170818T112801.SAFE,8754256b-921c-540b-89a2-bd4db4d07ef2
S2B_MSIL1C_20170824T100019_N0205_R122_T33TWM_20170824T100022.SAFE,92160f70-b49d-5753-93ad-570ebe004ded
S2B_MSIL1C_20170825T093029_N0205_R136_T34TEQ_20170825T093630.SAFE,1d87864f-8ec2-506d-a043-8a3d7de22ea9
S2B_MSIL1C_20170829T105019_N0205_R051_T31UER_20170829T105633.SAFE,d3659aff-9594-57ea-bab6-6c8d6d5d414b
S2B_MSIL1C_20170830T102019_N0205_R065_T34VDR_20170830T102017.SAFE,fa1fcab0-cd1a-58d7-8ad0-923009e743f6
S2B_MSIL1C_20170831T095029_N0205_R079_T33UXP_20170831T095023.SAFE,481be2c3-ccae-57a1-9dfe-a52e5facfa9d
S2B_MSIL1C_20170831T095029_N0205_R079_T33UXQ_20170831T095023.SAFE,00a7440d-3aaa-5255-883d-4fc564211041
S2B_MSIL1C_20170906T101019_N0205_R022_T34VDN_20170906T101046.SAFE,c6d8191d-d106-58d4-bac0-5bbb513e489b
S2B_MSIL1C_20170906T101019_N0205_R022_T34WFS_20170906T101046.SAFE,7f9493e0-4d8d-5d79-b3d7-127fe6ae2a61
S2B_MSIL1C_20170911T092019_N0205_R093_T34TFN_20170911T092019.SAFE,8be4a423-c026-59ef-bdb4-e75bbd915095
S2B_MSIL1C_20170914T093029_N0205_R136_T34TEP_20170914T093654.SAFE,a4730583-fb57-51ad-999b-ded3dcf570df
S2B_MSIL1C_20170914T093029_N0205_R136_T34TEQ_20170914T093654.SAFE,c4c1b5d1-03d0-51eb-9482-91eaf8d241e5
S2B_MSIL1C_20170923T100019_N0205_R122_T33TWM_20170923T100502.SAFE,1fa446b2-f8f9-5ec3-9771-5cd32c2f0c1e
S2B_MSIL1C_20170924T093019_N0205_R136_T35UMA_20170924T093132.SAFE,be3eaed1-219c-51b7-b060-48ee63ca8ce5
S2B_MSIL1C_20170924T093019_N0205_R136_T35UMB_20170924T093132.SAFE,c0e28309-9802-5b15-b5d1-3f894f2192d0
S2B_MSIL1C_20170924T093019_N0205_R136_T35VNH_20170924T093132.SAFE,e8ff02f6-881d-5977-aeae-80648670b178
S2B_MSIL1C_20170924T093019_N0205_R136_T35VPH_20170924T093132.SAFE,87a7b4c8-7c9a-5fda-b772-e680e536ba14
S2B_MSIL1C_20170924T093019_N0205_R136_T35VPK_20170924T093132.SAFE,f067d2b0-cac5-51b4-86c8-1dba056f7816
S2B_MSIL1C_20170924T093019_N0205_R136_T36VVQ_20170924T093132.SAFE,821b1da3-2b2e-5ef4-8f17-76826aa850c0
S2B_MSIL1C_20170927T094019_N0205_R036_T35ULB_20170927T094016.SAFE,5a04d2f7-4e2f-5ce4-a2ef-042111b1b22e
S2B_MSIL1C_20170927T094019_N0205_R036_T35VLC_20170927T094016.SAFE,2b9e4b32-aafe-5db2-acd9-21802a5c81ec
S2B_MSIL1C_20170930T095019_N0205_R079_T34UEG_20170930T095013.SAFE,ab2ab9cb-fe31-5707-9312-7b3325bc2167
S2B_MSIL1C_20171015T104009_N0205_R008_T31UGR_20171015T104525.SAFE,18001d0c-453f-518f-973a-15b2ef00e93b
S2B_MSIL1C_20171015T104009_N0205_R008_T31UGS_20171015T104525.SAFE,881e5f49-666e-549c-a7b0-c3e9a21a6ebe
S2B_MSIL1C_20171016T101009_N0205_R022_T34VDM_20171016T101010.SAFE,529821f8-0045-5280-8fbd-eb459290f83d
S2B_MSIL1C_20171019T102019_N0205_R065_T34VDR_20171019T102055.SAFE,d8716fb3-5613-5910-99a0-ad12d7899808
S2B_MSIL1C_20171107T105229_N0206_R051_T31UER_20171107T124713.SAFE,b23dad7c-57f1-5d6f-b6bb-69ac788b8afa
S2B_MSIL1C_20171112T114339_N0206_R123_T29UPU_20171112T133854.SAFE,73c4ec05-a96e-510b-815a-540e76b6537f
S2B_MSIL1C_20171206T094349_N0206_R036_T34TCR_20171206T115652.SAFE,e76e1ca6-c719-5f6a-8e35-6a5f2710b9b4
S2B_MSIL1C_20171219T095409_N0206_R079_T33TWN_20171219T115011.SAFE,d2c41141-3851-5aeb-b0b6-07380fd91b2d
S2B_MSIL1C_20171219T095409_N0206_R079_T33TXN_20171219T115011.SAFE,76c77a9d-3528-584f-ad6d-75a00473d5b5
S2B_MSIL1C_20171226T094359_N0206_R036_T34TCS_20171228T144822.SAFE,cb13f328-a881-5ddc-b781-70ed0862629e
S2B_MSIL1C_20180127T102259_N0206_R065_T34VDN_20180127T122959.SAFE,6327a5ca-e667-5d91-be38-1f6a89b9fa9e
S2B_MSIL1C_20180201T093219_N0206_R136_T34TEP_20180201T113304.SAFE,ab173f05-6139-5dae-9e8b-8a2e96b8a4b6
S2B_MSIL1C_20180204T094159_N0206_R036_T35VNH_20180204T115809.SAFE,3ba6ad69-7e6c-564c-aa13-977669eecff8
S2B_MSIL1C_20180204T094159_N0206_R036_T35VNJ_20180204T115809.SAFE,ada7727d-ba53-57dd-9109-689dd89d8ac8
S2B_MSIL1C_20180204T094159_N0206_R036_T35VPK_20180204T115809.SAFE,6e48c91e-5c00-5fb7-9d61-e02e413e140c
S2B_MSIL1C_20180220T114339_N0206_R123_T29UPV_20180221T151310.SAFE,cff96212-b00d-5573-890d-ef6feb468d9c
S2B_MSIL1C_20180221T093029_N0206_R136_T35VPH_20180221T135143.SAFE,915d33bd-23dc-5a90-b3cc-ab2e22eafd05
S2B_MSIL1C_20180223T101019_N0206_R022_T34WFT_20180223T134951.SAFE,33c9f0d7-e012-5952-9e1c-0ef5e4d8bb6c
S2B_MSIL1C_20180224T112109_N0206_R037_T29SNC_20180224T164834.SAFE,d72351cf-de14-5f0d-9fb6-e2712d25d704
S2B_MSIL1C_20180225T105019_N0206_R051_T31UER_20180225T143259.SAFE,1ca8d3d2-8ee0-5d99-8dd4-207e9fc7db47
S2B_MSIL1C_20180326T112109_N0206_R037_T29SNB_20180326T132716.SAFE,09d2f940-09f5-5e0d-bbf4-dcd5a88c9d07
S2B_MSIL1C_20180417T102019_N0206_R065_T34WFV_20180417T140522.SAFE,f6ee05b8-92e8-5f70-a08f-3f37512696a3
S2B_MSIL1C_20180421T100029_N0206_R122_T33TWM_20180421T120642.SAFE,6ab4a415-2cf6-59e2-bc87-2304dee045ac
S2B_MSIL1C_20180421T100029_N0206_R122_T33TWN_20180421T120642.SAFE,430be487-f03e-5264-bda0-068d31285fba
S2B_MSIL1C_20180421T100029_N0206_R122_T33UWQ_20180421T120642.SAFE,beeb3538-a546-5717-890b-07bda61abe70
S2B_MSIL1C_20180421T100029_N0206_R122_T33UXQ_20180421T120642.SAFE,f91b011c-6dd6-5a18-81a5-8501453cf941
S2B_MSIL1C_20180421T114349_N0206_R123_T29UPU_20180421T134219.SAFE,b21ac443-7c0b-58d7-bd59-b240d6bdcbd2
S2B_MSIL1C_20180422T093029_N0206_R136_T34TEQ_20180422T113218.SAFE,3b934708-5fc2-51a0-8883-73a3294a6cd7
S2B_MSIL1C_20180428T095029_N0206_R079_T33TXN_20180428T110928.SAFE,cd2fd025-4a60-5ed7-97a3-20ceb12870a5
S2B_MSIL1C_20180502T093039_N0206_R136_T34TEP_20180502T113747.SAFE,4bcb0d5b-2a11-5680-a2ff-c1947de6cbae
S2B_MSIL1C_20180506T105029_N0206_R051_T31UER_20180509T155709.SAFE,e66f2d36-dac7-50e2-bdac-ab002b4dca2d
S2B_MSIL1C_20180509T092029_N0206_R093_T34TFN_20180509T105136.SAFE,f91cfb31-f52e-59a5-99d6-cc3a3f077daa
S2B_MSIL1C_20180511T100029_N0206_R122_T34VDM_20180511T120901.SAFE,4b68ac94-b3ae-50e4-975d-c5328f641354
S2B_MSIL1C_20180511T100029_N0206_R122_T35WPR_20180511T120901.SAFE,0218b3cf-a8de-5286-8a24-34c89cdb8638
S2B_MSIL1C_20180515T094029_N0206_R036_T35VNJ_20180515T114639.SAFE,52bfd20f-e5c5-515f-9411-3ae938481b5c
S2B_MSIL1C_20180515T112109_N0206_R037_T29SNC_20180515T135621.SAFE,d44d7409-6a61-51b8-a29d-10e492a2f251
S2B_MSIL1C_20180515T112109_N0206_R037_T29SND_20180515T135621.SAFE,9ecf0fc4-b216-5789-9574-fb7c0d8ab256
S2B_MSIL1C_20180521T100029_N0206_R122_T34WFS_20180521T120149.SAFE,b98b27d1-88b5-542e-bfbf-a3a75aa38be3
S2B_MSIL1C_20180522T093029_N0206_R136_T35VPH_20180522T121543.SAFE,1fa7aa86-7140-509e-9a99-198866ad8fe5
S2B_MSIL1C_20180522T093029_N0206_R136_T35VPJ_20180522T121543.SAFE,39af4f76-5963-5c2b-93f3-9c8877c82b79
S2B_MSIL1C_20180525T094029_N0206_R036_T35VNH_20180525T114620.SAFE,52eec45c-e54b-5579-a936-a807d03d2cf7
S2B_MSIL1C_20180525T094029_N0206_R036_T35VNK_20180525T114620.SAFE,1ae78943-1a7e-55d7-a961-fb34426ef0e9
S2B_MSIL1C_20180525T094029_N0206_R036_T35VNL_20180525T114620.SAFE,ab81fc56-19f8-5643-a5ec-161a059b4f65
